Address,City,Country,Postal_Code,State_Province,Country,Google Verified Address,Latitude,Longitude
400 Rodeo Place,Ne Anchorage,US,99503,AK,USA,Home Depot  400 Rodeo Pl  Anchorage  AK 99508  USA,61.2184144,-149.8139829
150 Market Drive,Elyrria,US,44036,OH,USA,150 Market Dr  Elyria  OH 44035  USA,41.3869028,-82.107002
1400 Tintern Lane,Orton,US,23321,VA,USA,Chesapeake  VA 23321  USA,36.8032821,-76.4215988
145 Levitton Pkwy,SunnyTown,US,19057,PA,USA,Levittown  PA 19057  USA,40.1344021,-74.8565613
100 Car Mia Way,Richmond,US,23236,VA,USA,Richmond  VA 23236  USA,37.4759039,-77.590597
3926 Linden St.,Bethlehem,US,18017,PA,USA,3926 Linden St  Bethlehem  PA 18017  USA,40.6740345,-75.3430231
345 Springboro Pike 741,Miamisburg,US,45342,OH,USA,345 N Springboro Pike  Dayton  OH 45449  USA,39.644604,-84.22603699999999
751 Horsham Road Unit#D,Lansdale,US,19446,PA,USA,751 Horsham Rd  Lansdale  PA 19446  USA,40.2475073,-75.23923529999999
224 Elson Green Avenue,Virginia Beach,US,23462,VA,USA,Elson Green Ct  Virginia Beach  VA 23454  USA,36.7559752,-76.00508289999999
545 French Rd.,New Hartford,US,13413,NY,USA,545 French Rd  New Hartford  NY 13413  USA,43.089371,-75.28056699999999
615 Arsenal Street,Watertown,US,2471,MA,USA,615 Arsenal St  Watertown  MA 02471  USA,42.3625797,-71.15741129999999
Route 1 & 9 Linden Airport,NoCity,US,7036,NJ,USA,null,null,null
440 Rte 440,Jersey City,US,7302,NJ,USA,440 NJ-440  Jersey City  NJ 07304  USA,40.71906380000001,-74.0935477
Rte #15 Mt. Pleasonton Av,Dover,US,6666,NJ,USA,null,null,null
1055 Patterson Plank Rd.,Secaucus,US,7096,NJ,USA,1055 Paterson Plank Rd  Secaucus  NJ 07094  USA,40.7833556,-74.0501805
4665 State Highway 17,Mahwah,US,7498,NJ,USA,NJ-17  Mahwah  NJ 07430  USA,41.0954051,-74.1567164
1 Route 46,Montville,US,7045,NJ,USA,1 US-46  Caldwell  NJ 07006  USA,40.85800709999999,-74.3469188
Olden Ave. & Artic Pkwy.,Ewing,US,8628,NJ,USA,N Olden Ave & Arctic Pkwy  Ewing Township  NJ 08638  USA,40.2446291,-74.76024650000001
Rte 5 & Old Colony Rd.,Wallingford,US,6492,CT,USA,US-5 & Old North Colony Rd  Wallingford  CT 06492  USA,41.498119,-72.8100577
3800 Central Expressway,East Plano,US,75075,TX,USA,3800 N Central Expy  Plano  TX 75074  USA,33.0448381,-96.6989842
305 West Quinn Rd.,Pocatello,US,83202,ID,USA,305 W Quinn Rd  Pocatello  ID 83201  USA,42.904696,-112.4557605
2900 Patriot Blvd,Glenview,US,60025,XX,USA,2900 Patriot Blvd  Glenview  IL 60026  USA,42.1093625,-87.8215817
1375 N. Meacham Drive,Schaumburg,US,60193,IL,USA,1375 N Meacham Rd  Schaumburg  IL 60173  USA,42.0551847,-88.0419058
9915 W 159th Street,Orland Park,US,60462,IL,USA,9915 W 159th St  Orland Park  IL 60467  USA,41.5994653,-87.8619044
4201 West Wendover Ave,Greensboro,CA,27402,NC,USA,4201 W Wendover Ave  Greensboro  NC 27407  USA,36.0574121,-79.8835837
2125 Bla Bla Road,Matthews,US,28106,NC,USA,Matthews  NC 28106  USA,35.1143176,-80.71971309999999
5125 Jonestown Road,Harrisburg,US,17109,PA,USA,5125 Jonestown Rd  Harrisburg  PA 17112  USA,40.3098201,-76.7995798
3656 Wall Avenue,S. Ogden,US,84403,UT,USA,3656 Wall Ave  Ogden  UT 84405  USA,41.1969447,-111.9775314
14555 Valley Center Drive,Victorville,CA,92392,CA,USA,14555 Valley Center Dr  Victorville  CA 92395  USA,34.5149958,-117.3186013
1755 Hacienda Drive,Vista,US,92083,CA,USA,1755 Hacienda Dr  Vista  CA 92081  USA,33.1883247,-117.2764952
22633 Savi Ranch Parkway,Yorba Linda,US,92886,CA,USA,22633 Savi Ranch Pkwy  Yorba Linda  CA 92887  USA,33.8758177,-117.7439916
3031 Killdeer Avenue,Albany,US,97321,OR,USA,3031 Killdeer Ave SE  Albany  OR 97322  USA,44.63854130000001,-123.065852
10000 W. McDowell Road,Avondale,US,85323,AZ,USA,10000 W McDowell Rd  Avondale  AZ 85392  USA,33.4673339,-112.2744376
951 Palomar Airport Rd.,Carlsbad,US,92009-1110,CA,USA,951 Palomar Airport Rd  Carlsbad  CA 92011  USA,33.1201381,-117.3165503
2828 Chad Drive,Eugene,US,97401,OR,USA,2828 Chad Dr  Eugene  OR 97408  USA,44.0888556,-123.0662122
5101 Business Center Dr,Fairfield,US,94585,CA,USA,5101 Business Center Dr  Fairfield  CA 94534  USA,38.2152403,-122.1454704
10990 Harbor Hill Dr.,Gig Harbor,US,98335,WA,USA,10990 Harbor Hill Dr  Gig Harbor  WA 98335  USA,47.3573567,-122.6043929
2887 South Market Street,Gilbert,US,85296,AZ,USA,2887 S Market St  Gilbert  AZ 85297  USA,33.2961656,-111.7449103
8125 Fletcher Parkway,La Mesa,US,91941,CA,USA,8125 Fletcher Pkwy  La Mesa  CA 91942  USA,32.7737125,-117.0247217
2800 Independence Dr.,Livermore,US,94550,CA,USA,2800 Independence Dr  Livermore  CA 94551  USA,37.7028882,-121.8125616
2440 Daniels St.,Manteca,US,95336,CA,USA,2440 Daniels St  Manteca  CA 95337  USA,37.7853216,-121.2605559
2001 East Ventura Blvd,Oxnard,US,93030,CA,USA,2001 Ventura Blvd  Oxnard  CA 93030  USA,34.22539210000001,-119.1477949
1540 Froom Ranch Way,San Luis Obispo,US,93401,CA,USA,1540 Froom Ranch Way  San Luis Obispo  CA 93405  USA,35.2518482,-120.6912232
18649 Via Princessa,Santa Clarita,US,91351,CA,USA,18649 Vía Princessa  Santa Clarita  CA 91387  USA,34.4046721,-118.4616339
